parishId,parishSlug,parishName,website,type,lat,long,parishAddress,parishDiocese,parishDioceseSlug,dioceseUrl,parishFamily,parishFamilySlug,parishDeanery,parishDeanerySlug,sundayMassTimes,dailyMassTimes,latinMass,confessionTimes,adorationTimes,overnightAdoration,benedictionTimes,devotions,parishCityCounty,parishCityCountySlug,parishProvinceState,provinceStateSlug,parishCountry,parishCountrySlug,parishPhone,parishEmail,parishNationality,parishPhotos,cathedral,basilica,shareBuildingSlug,shareBuildingName,parishesNotes,parishesLastUpdate
1,our-lady-of-perpetual-help-olph-windsor,Our Lady of Perpetual Help (OLPH),https://olph.dionet.org,Parish,42.283151,-83.001698,"804 Grand Marais Rd E, Windsor, ON N8X 3H8, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Rose City Central Catholic Family of Parishes,rose-city-central-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Saturday 17:00; Sunday 10:30,Tuesday 18:00; Thursday 18:00,,Tuesday 17:00-17:45,Tuesday 17:00-17:45,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,519-258-0910,olph@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/olph1.webp,,,,,,11/15/2025
2,assumption-parish-windsor,Assumption Parish,https://assumptionparish.ca,Parish,42.307376,-83.069703,"350 Huron Church Road, Windsor, ON, N9C 2J9, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Windsor Heritage Catholic Family of Parishes,windsor-heritage-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Sunday 09:00; Sunday 11:00; Sunday 19:30,Tuesday 08:00; Wednesday 08:00; Thursday 08:00,,Saturday 11:00-12:00; Sunday 18:30-19:15,Tuesday 08:30-15:30,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,519-253-2493,assumption@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/assumption1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/assumption2.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/assumption3.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/assumption4.webp,,,,,"Tuesday and Thursday morning masses, Sunday confessions, and Tuesday Adoration all take place in Rosary Chapel",11/15/2025
3,holy-trinity-windsor,Holy Trinity,https://olph.dionet.org/holy-trinity,Parish,42.306757,-83.014197,"1035 Ellis St E, Windsor, ON N8X 2J2, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Rose City Central Catholic Family of Parishes,rose-city-central-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Sunday 09:00; Sunday 10:30 (Polish); Sunday 12:30 (Polish),Monday 19:00 (Polish); Tuesday 19:00 (Polish); Wednesday 19:00 (Polish); Thursday 19:00 (Polish); Friday 19:00 (Polish); Saturday 08:00,,Monday 18:30-19:00; Tuesday 18:30-19:00; Wednesday 18:30-19:00; Thursday 18:30-19:00; Friday 18:30-19:00,Monday 18:30-19:00; Tuesday 18:30-19:00; Wednesday 18:30-19:00; Thursday 18:30-19:00; Friday 18:30-19:00; First Friday 18:00–19:00; First Friday 20:00–07:30 Adoration overnight,yes,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,(519) 253-5863,olph@dol.ca,Polish,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/holytrinity1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/holytrinity3.webp,,,,,,11/15/2025
4,st-francis-of-assisi-windsor,St. Francis of Assisi,https://olph.dionet.org/st-francis-of-assisi,Parish,42.305281,-82.9979,"1701 Turner Rd, Windsor, ON N8W 3J9, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Rose City Central Catholic Family of Parishes,rose-city-central-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Saturday 17:00 (Croatian); Sunday 09:00; Sunday 11:00 (Croatian),,,,,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,(519) 252-6871,olph@dol.ca,Croatian,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/stfrancisofassisi1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/stfrancisofassisi2.webp,,,,,"9:00 AM Sunday Masses are not available in the month of August; For the Sacrament of Reconciliation, please contact the office",11/15/2025
5,immaculate-heart-parish-at-st-michael-s-church-windsor,Immaculate Heart Parish at St. Michael's Church,https://www.immaculateheartwindsor.ca,Parish,42.298568,-83.006548,"2153 Parkwood Ave, Windsor, ON N8W 2J8, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Rose City Central Catholic Family of Parishes,rose-city-central-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Saturday 17:00; Sunday 12:30,Wednesday 12:00; Friday 08:00,,Saturday 14:00-15:00,,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,(519) 258-0910,shcwindsor@dol.ca ,German,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/immculate1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/stmichael1.webp,,,,,,11/15/2025
6,holy-name-of-mary-windsor,Holy Name of Mary,http://www.windsorlatinmass.org,Parish,42.306507,-83.054511,"681 McEwan Ave, Windsor, ON N9B 1H8, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Windsor Heritage Catholic Family of Parishes,windsor-heritage-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Sunday 14:00 (Latin),Tuesday 19:00 (Latin),yes,,,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,(519) 968-1959,info@windsorlatinmass.org,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/holynameofmary.webp,,,st-benedict-tridentine-catholic-community-windsor,St. Benedict Tridentine Catholic Community,,11/15/2025
7,st-benedict-tridentine-catholic-community-windsor,St. Benedict Tridentine Catholic Community,http://www.windsorlatinmass.org,Catholic Community,42.306384,-83.054742,"681 McEwan Ave, Windsor, ON N9B 1H8, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Windsor Heritage Catholic Family of Parishes,windsor-heritage-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,,,,,,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,(519) 968-1959,info@windsorlatinmass.org,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/holynameofmary.webp,,,holy-name-of-mary-windsor,Holy Name of Mary,,11/15/2025
8,st-alphonsus-windsor,St. Alphonsus,https://stalphonsuschurch.ca,Parish,42.316357,-83.03624,"85 Park St E, Windsor, ON N9A 3A8, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Windsor Heritage Catholic Family of Parishes,windsor-heritage-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Saturday 17:00; Sunday 12:00; Sunday 17:30,Wednesday 12:00; Thursday 12:00; Friday 12:00,,Saturday 16:00-16:45; Wednesday 11:00-11:45,Thursday 12:30,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,519-256-1849,stalphonsus@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/stalphonsus1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/stalphonsus2.webp,,,st-daniel-comboni-windsor,St. Daniel Comboni,,11/15/2025
9,st-angela-merici-windsor,St. Angela Merici,https://stangelamerici.ca,Parish,42.312894,-83.023859,"980 Louis Avenue, Windsor, Ontario, N9A 1X9, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Windsor Heritage Catholic Family of Parishes,windsor-heritage-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Saturday 16:30 (Bilingual); Sunday 09:30 (Italian); Sunday 11:30,Monday 19:00; Tuesday 19:00 (Bilingual),,Saturday 15:45-16:15; Tuesday 18:30-18:50,,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,519-254-5542,stangelamerici@dol.ca,Italian,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/stangela.webp,,,,,,11/15/2025
10,st-daniel-comboni-windsor,St. Daniel Comboni,https://stdaniel.ca,Catholic Community,42.3164,-83.036508,"85 Park St E, Windsor, ON N9A 3A8, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Windsor Heritage Catholic Family of Parishes,windsor-heritage-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,,,,,,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,519-256-1849,stalphonsus@dol.ca,African,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/stalphonsus1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/stalphonsus2.webp,,,st-alphonsus-windsor,St. Alphonsus,The St. Daniel community meets on the first Sunday of the month at 2:00pm at St. Alphonsus Church.,11/15/2025
